"","X","workerid","property","trial_type","rt","trial_num","response","sentence","targetMention","item","type","Property"
"86",61,2,"lays eggs","free_production",5985,19,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"87",61,2,"lays eggs","free_production",5985,19,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"88",62,2,"is white","free_production",21088,20,"cat","cat is white",0,"cat is white",NA,"are white"
"89",62,2,"is white","free_production",21088,20,"cat","cat is white",0,"cat is white",NA,"are white"
"90",63,2,"is juvenile","free_production",6263,21,"kitten","kitten is juvenile",0,"kitten is juvenile",NA,"are juvenile"
"91",64,3,"carries Lyme disease","free_production",13743,1,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"92",65,3,"is juvenile","free_production",6943,2,"kitten","kitten is juvenile",0,"kitten is juvenile",NA,"are juvenile"
"93",66,3,"is female","free_production",7496,3,"cat","cat is female",0,"cat is female",NA,"are female"
"94",67,3,"has a mane","free_production",4296,4,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"95",67,3,"has a mane","free_production",4296,4,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"96",68,3,"carries malaria","free_production",9104,5,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"97",68,3,"carries malaria","free_production",9104,5,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"98",69,3,"doesnt attack swimmers","free_production",10216,6,"trout","trout doesn't attack swimmers",0,"trout doesn't attack swimmers",NA,"dont attack swimmers"
"99",70,3,"is red","free_production",7304,7,"ladybug","ladybug is red",0,"ladybug is red",NA,"are red"
"100",71,3,"eats people","free_production",9680,8,"shark","shark eats people",0,"shark eats people",NA,"eat people"
"101",72,3,"has beautiful feathers","free_production",6888,9,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"102",73,3,"has wings","free_production",6648,10,"eagle","eagle has wings",0,"eagle has wings",NA,"have wings"
"103",73,3,"has wings","free_production",6648,10,"eagle","eagle has wings",0,"eagle has wings",NA,"have wings"
"104",74,3,"attacks swimmers","free_production",18840,11,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"105",74,3,"attacks swimmers","free_production",18840,11,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"106",75,3,"doesnt have beautiful feathers","free_production",10952,12,"pidgeon","pidgeon doesn't have beautiful feathers",0,"pidgeon doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"107",76,3,"doesnt carry malaria","free_production",7911,13,"ant","ant doesn't carry malaria",0,"ant doesn't carry malaria",NA,"dont carry malaria"
"108",77,3,"doesnt carry Lyme disease","free_production",14047,14,"cheetah","cheetah doesn't carry Lyme disease",0,"cheetah doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"109",78,3,"doesnt eat people","free_production",4848,15,"dog","dog doesn't eat people",0,"dog doesn't eat people",NA,"dont eat people"
"110",79,3,"is full-grown","free_production",8288,16,"elephant","elephant is full-grown",0,"elephant is full-grown",NA,"are full-grown"
"111",80,3,"has a pouch","free_production",6104,17,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"112",80,3,"has a pouch","free_production",6104,17,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"113",81,3,"lays eggs","free_production",3824,18,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"114",81,3,"lays eggs","free_production",3824,18,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"115",81,3,"lays eggs","free_production",3824,18,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"116",82,3,"is male","free_production",5448,19,"wolf","wolf is male",0,"wolf is male",NA,"are male"
"117",83,3,"is white","free_production",7248,20,"rabbit","rabbit is white",0,"rabbit is white",NA,"are white"
"118",83,3,"is white","free_production",7248,20,"rabbit","rabbit is white",0,"rabbit is white",NA,"are white"
"119",84,3,"has spots","free_production",10153,21,"duck","duck has spots",0,"duck has spots",NA,"have spots"
"120",84,3,"has spots","free_production",10153,21,"duck","duck has spots",0,"duck has spots",NA,"have spots"
"121",85,4,"doesnt have beautiful feathers","free_production",5243,1,"cat","cat doesn't have beautiful feathers",0,"cat doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"122",86,4,"carries malaria","free_production",4347,2,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"123",86,4,"carries malaria","free_production",4347,2,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"124",87,4,"is white","free_production",4683,3,"whale","whale is white",0,"whale is white",NA,"are white"
"125",87,4,"is white","free_production",4683,3,"whale","whale is white",0,"whale is white",NA,"are white"
"126",88,4,"has spots","free_production",13619,4,"giraffe","giraffe has spots",0,"giraffe has spots",NA,"have spots"
"127",88,4,"has spots","free_production",13619,4,"giraffe","giraffe has spots",0,"giraffe has spots",NA,"have spots"
"128",89,4,"attacks swimmers","free_production",3833,5,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"129",89,4,"attacks swimmers","free_production",3833,5,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"130",90,4,"lays eggs","free_production",4170,6,"fly","fly lays eggs",0,"fly lays eggs",NA,"lay eggs"
"131",90,4,"lays eggs","free_production",4170,6,"fly","fly lays eggs",0,"fly lays eggs",NA,"lay eggs"
"132",90,4,"lays eggs","free_production",4170,6,"fly","fly lays eggs",0,"fly lays eggs",NA,"lay eggs"
"133",91,4,"has wings","free_production",7016,7,"fly","fly has wings",0,"fly has wings",NA,"have wings"
"134",91,4,"has wings","free_production",7016,7,"fly","fly has wings",0,"fly has wings",NA,"have wings"
"135",92,4,"is juvenile","free_production",14461,8,"tigercub","tigercub is juvenile",0,"tigercub is juvenile",NA,"are juvenile"
"136",93,4,"doesnt carry malaria","free_production",3940,9,"cat","cat doesn't carry malaria",0,"cat doesn't carry malaria",NA,"dont carry malaria"
"137",94,4,"doesnt attack swimmers","free_production",3993,10,"dog","dog doesn't attack swimmers",0,"dog doesn't attack swimmers",NA,"dont attack swimmers"
"138",95,4,"eats people","free_production",5436,11,"shark","shark eats people",0,"shark eats people",NA,"eat people"
"139",96,4,"doesnt eat people","free_production",3473,12,"cat","cat doesn't eat people",0,"cat doesn't eat people",NA,"dont eat people"
"140",97,4,"carries Lyme disease","free_production",3692,13,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"141",98,4,"has a pouch","free_production",4624,14,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"142",98,4,"has a pouch","free_production",4624,14,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"143",99,4,"is full-grown","free_production",3833,15,"kangaro","kangaro is full-grown",0,"kangaro is full-grown",NA,"are full-grown"
"144",100,4,"is red","free_production",10712,16,"ladybug","ladybug is red",0,"ladybug is red",NA,"are red"
"145",101,4,"doesnt carry Lyme disease","free_production",6697,17,"ladybug","ladybug doesn't carry Lyme disease",0,"ladybug doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"146",102,4,"has a mane","free_production",4510,18,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"147",102,4,"has a mane","free_production",4510,18,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"148",103,4,"is female","free_production",17224,19,"kangaroo","kangaroo is female",0,"kangaroo is female",NA,"are female"
"149",104,4,"is male","free_production",4749,20,"kangaroo","kangaroo is male",0,"kangaroo is male",NA,"are male"
"150",105,4,"has beautiful feathers","free_production",5060,21,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"151",106,5,"carries malaria","free_production",75553,1,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"152",106,5,"carries malaria","free_production",75553,1,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"153",107,5,"is juvenile","free_production",7911,2,"monkey","monkey is juvenile",0,"monkey is juvenile",NA,"are juvenile"
"154",108,5,"eats people","free_production",7406,3,"tiger","tiger eats people",1,"tiger eats people",NA,"eat people"
"155",109,5,"has a pouch","free_production",10688,4,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"156",109,5,"has a pouch","free_production",10688,4,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"157",110,5,"doesnt have beautiful feathers","free_production",8532,5,"kiwi","kiwi doesn't have beautiful feathers",0,"kiwi doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"158",111,5,"has spots","free_production",9342,6,"leopard","leopard has spots",1,"leopard has spots",NA,"have spots"
"159",111,5,"has spots","free_production",9342,6,"leopard","leopard has spots",1,"leopard has spots",NA,"have spots"
"160",112,5,"carries Lyme disease","free_production",7894,7,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"161",113,5,"lays eggs","free_production",3492,8,"hen","hen lays eggs",0,"hen lays eggs",NA,"lay eggs"
"162",113,5,"lays eggs","free_production",3492,8,"hen","hen lays eggs",0,"hen lays eggs",NA,"lay eggs"
"163",113,5,"lays eggs","free_production",3492,8,"hen","hen lays eggs",0,"hen lays eggs",NA,"lay eggs"
"164",114,5,"has wings","free_production",6166,9,"bird","bird has wings",0,"bird has wings",NA,"have wings"
"165",114,5,"has wings","free_production",6166,9,"bird","bird has wings",0,"bird has wings",NA,"have wings"
"166",115,5,"doesnt eat people","free_production",19997,10,"frog","frog doesn't eat people",0,"frog doesn't eat people",NA,"dont eat people"
"167",116,5,"is female","free_production",5804,11,"frog","frog is female",0,"frog is female",NA,"are female"
"168",117,5,"doesnt carry malaria","free_production",6323,12,"frog","frog doesn't carry malaria",0,"frog doesn't carry malaria",NA,"dont carry malaria"
"169",118,5,"doesnt carry Lyme disease","free_production",5610,13,"frog","frog doesn't carry Lyme disease",0,"frog doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"170",119,5,"is red","free_production",5893,14,"cardinal","cardinal is red",1,"cardinal is red",NA,"are red"
"171",120,5,"doesnt attack swimmers","free_production",9544,15,"tuna","tuna doesn't attack swimmers",0,"tuna doesn't attack swimmers",NA,"dont attack swimmers"
"172",121,5,"has beautiful feathers","free_production",45046,16,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"173",122,5,"is male","free_production",43818,17,"frog","frog is male",0,"frog is male",NA,"are male"
"174",123,5,"attacks swimmers","free_production",76974,18,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"175",123,5,"attacks swimmers","free_production",76974,18,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"176",124,5,"has a mane","free_production",5124,19,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"177",124,5,"has a mane","free_production",5124,19,"lion","lion has a mane",1,"lion has a mane","diagnostic","have manes"
"178",125,5,"is white","free_production",9894,20,"dove","dove is white",0,"dove is white",NA,"are white"
"179",125,5,"is white","free_production",9894,20,"dove","dove is white",0,"dove is white",NA,"are white"
"180",126,5,"is full-grown","free_production",5118,21,"cow","cow is full-grown",0,"cow is full-grown",NA,"are full-grown"
"181",127,6,"carries Lyme disease","free_production",5765,1,"tick","tick carries Lyme disease",1,"tick carries Lyme disease","diagnostic","carry Lyme disease"
"182",128,6,"has a mane","free_production",2995,2,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"183",128,6,"has a mane","free_production",2995,2,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"184",129,6,"is male","free_production",8441,3,"dog","dog is male",0,"dog is male",NA,"are male"
"185",130,6,"doesnt carry Lyme disease","free_production",9476,4,"cat","cat doesn't carry Lyme disease",0,"cat doesn't carry Lyme disease",NA,"dont carry Lyme disease"
"186",131,6,"eats people","free_production",8828,5,"lion","lion eats people",0,"lion eats people",NA,"eat people"
"187",132,6,"is full-grown","free_production",6015,6,"poodle","poodle is full-grown",0,"poodle is full-grown",NA,"are full-grown"
"188",133,6,"has beautiful feathers","free_production",3499,7,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"189",134,6,"doesnt eat people","free_production",5116,8,"pig","pig doesn't eat people",0,"pig doesn't eat people",NA,"dont eat people"
"190",135,6,"has a pouch","free_production",3777,9,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"191",135,6,"has a pouch","free_production",3777,9,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
"192",136,6,"doesnt carry malaria","free_production",4486,10,"dog","dog doesn't carry malaria",0,"dog doesn't carry malaria",NA,"dont carry malaria"
"193",137,6,"doesnt attack swimmers","free_production",6589,11,"dolphin","dolphin doesn't attack swimmers",0,"dolphin doesn't attack swimmers",NA,"dont attack swimmers"
"194",138,6,"has wings","free_production",5347,12,"eagle","eagle has wings",0,"eagle has wings",NA,"have wings"
"195",138,6,"has wings","free_production",5347,12,"eagle","eagle has wings",0,"eagle has wings",NA,"have wings"
"196",139,6,"is juvenile","free_production",4942,13,"kitten","kitten is juvenile",0,"kitten is juvenile",NA,"are juvenile"
"197",140,6,"attacks swimmers","free_production",3780,14,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"198",140,6,"attacks swimmers","free_production",3780,14,"shark","shark attacks swimmers",1,"shark attacks swimmers",NA,"attack swimmers"
"199",141,6,"lays eggs","free_production",3162,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"200",141,6,"lays eggs","free_production",3162,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"201",141,6,"lays eggs","free_production",3162,15,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"202",142,6,"carries malaria","free_production",10070,16,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"203",142,6,"carries malaria","free_production",10070,16,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"204",143,6,"is red","free_production",103387,17,"ladybug","ladybug is red",0,"ladybug is red",NA,"are red"
"205",144,6,"is white","free_production",4737,18,"cat","cat is white",0,"cat is white",NA,"are white"
"206",144,6,"is white","free_production",4737,18,"cat","cat is white",0,"cat is white",NA,"are white"
"207",145,6,"is female","free_production",8255,19,"sparrow","sparrow is female",0,"sparrow is female",NA,"are female"
"208",146,6,"has spots","free_production",5113,20,"cheetah","cheetah has spots",0,"cheetah has spots",NA,"have spots"
"209",146,6,"has spots","free_production",5113,20,"cheetah","cheetah has spots",0,"cheetah has spots",NA,"have spots"
"210",147,6,"doesnt have beautiful feathers","free_production",6311,21,"gazelle","gazelle doesn't have beautiful feathers",0,"gazelle doesn't have beautiful feathers",NA,"dont have beautiful feathers"
"211",148,7,"has a mane","free_production",5643,1,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"212",148,7,"has a mane","free_production",5643,1,"horse","horse has a mane",0,"horse has a mane",NA,"have manes"
"213",149,7,"lays eggs","free_production",4513,2,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"214",149,7,"lays eggs","free_production",4513,2,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"215",149,7,"lays eggs","free_production",4513,2,"chicken","chicken lays eggs",0,"chicken lays eggs",NA,"lay eggs"
"216",150,7,"doesnt carry malaria","free_production",9005,3,"cat","cat doesn't carry malaria",0,"cat doesn't carry malaria",NA,"dont carry malaria"
"217",151,7,"has beautiful feathers","free_production",4721,4,"peacock","peacock has beautiful feathers",1,"peacock has beautiful feathers",NA,"have beautiful feathers"
"218",152,7,"is white","free_production",5752,5,"cat","cat is white",0,"cat is white",NA,"are white"
"219",152,7,"is white","free_production",5752,5,"cat","cat is white",0,"cat is white",NA,"are white"
"220",153,7,"doesnt attack swimmers","free_production",8463,6,"tuna","tuna doesn't attack swimmers",0,"tuna doesn't attack swimmers",NA,"dont attack swimmers"
"221",154,7,"has spots","free_production",5545,7,"dalmation","dalmation has spots",0,"dalmation has spots",NA,"have spots"
"222",154,7,"has spots","free_production",5545,7,"dalmation","dalmation has spots",0,"dalmation has spots",NA,"have spots"
"223",155,7,"doesnt eat people","free_production",9910,8,"giraffe","giraffe doesn't eat people",0,"giraffe doesn't eat people",NA,"dont eat people"
"224",156,7,"is full-grown","free_production",5845,9,"elephant","elephant is full-grown",0,"elephant is full-grown",NA,"are full-grown"
"225",157,7,"carries malaria","free_production",5850,10,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"226",157,7,"carries malaria","free_production",5850,10,"mosquito","mosquito carries malaria",1,"mosquito carries malaria","diagnostic","carry malaria"
"227",158,7,"is male","free_production",4970,11,"dog","dog is male",0,"dog is male",NA,"are male"
"228",159,7,"eats people","free_production",4691,12,"lion","lion eats people",0,"lion eats people",NA,"eat people"
"229",160,7,"is female","free_production",3376,13,"bear","bear is female",0,"bear is female",NA,"are female"
"230",161,7,"has a pouch","free_production",4833,14,"kangaroo","kangaroo has a pouch",1,"kangaroo has a pouch","diagnostic","have pouches"
